Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,9230550.86,1120918.47,4721500.00,4062,0,2833,0,2288,0,959,0,107,0.5738800041682323,10500
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,190986584.22,14326019.35,43221250.00,65835,0,63916,0,50964,0,16372,0,1110,0.7706483850733575,177432
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,682292760.87,42997885.31,75130750.00,96949,0,26983,0,186688,0,28300,0,2224,0.7994716405771846,311868
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,5989869.10,228554678.43,741555300.00,65198,11842,0,34597,0,76825,0,40621,4966,0.8157619323189383,439536
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,184061091.48,89536840.36,764514000.00,78902,0,34052,0,84734,0,39586,0,4977,0.8422151042645482,424476
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,6773749.02,216468608.70,769484800.00,60242,11534,0,32969,0,73757,0,37957,4943,0.8211503727657832,408132
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,5813512.76,211515013.95,797546000.00,59460,10973,0,31080,0,71911,0,37563,4952,0.818035386339651,402960
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,6707134.74,209753327.05,827194200.00,58344,11111,0,31222,0,70796,0,37169,4874,0.8180988009355876,397452
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,6465642.20,208879120.96,864454800.00,31745,37662,0,31117,0,70156,0,36903,4867,0.8161233129883743,396792
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1455046360.49,0.00,0,187131,0,76984,0,272518,0,35577,311,2.179713990200937,118932
